Series_2_5
Sweep_2_5_5,  5.021474720E+04, 13:56:54.747, 2020/02/26 13:56:50.717, "YLP"
"Index", "Time[s]"       , "V-mon[V]"      
    564,  2.820000000E-02, -6.774999946E-02
    565,  2.825000000E-02, -6.774999946E-02
    566,  2.830000000E-02, -6.762500107E-02
    567,  2.835000000E-02, -6.762500107E-02
    568,  2.840000000E-02, -6.774999946E-02
    569,  2.845000000E-02, -6.771875173E-02
    570,  2.850000000E-02, -6.774999946E-02
    571,  2.855000000E-02, -6.771875173E-02
    572,  2.860000000E-02, -6.774999946E-02
    573,  2.865000000E-02, -6.781250238E-02
    574,  2.870000000E-02, -6.768749654E-02
    575,  2.875000000E-02, -6.771875173E-02
    576,  2.880000000E-02, -6.778124720E-02
    577,  2.885000000E-02, -6.771875173E-02
    578,  2.890000000E-02, -6.768749654E-02
    579,  2.895000000E-02, -6.774999946E-02
    580,  2.900000000E-02, -6.768749654E-02
    581,  2.905000000E-02, -6.768749654E-02
    582,  2.910000000E-02, -6.778124720E-02
    583,  2.915000000E-02, -6.774999946E-02
    584,  2.920000000E-02, -6.774999946E-02
    585,  2.925000000E-02, -6.778124720E-02
    586,  2.930000000E-02, -6.768749654E-02
